minimizedAffinity,ID,0,1,2
-9.69233,mol_CHEMBL3715062_15,CCCN(CCC)c1ncnc2[nH]c3ccc(C(N)=O)cc3c12,CHEMBL3715062,mol_CHEMBL3715062_15
-9.6858,mol_CHEMBL78377_23,Cc1[nH]c2nc(-c3ccccc3)nc(NCCCN3CCCC3=O)c2c1C,CHEMBL78377,mol_CHEMBL78377_23
-9.68336,mol_CHEMBL4087971_21,CN1CCN([C@H]2CC[C@H](Nc3ncnc4ccc(C#N)cc34)CC2)CC1,CHEMBL4087971,mol_CHEMBL4087971_21
-9.68269,mol_CHEMBL3715974_9,NC(=O)c1ccc2[nH]c3ncnc(N4CCCCCC4)c3c2c1,CHEMBL3715974,mol_CHEMBL3715974_9
-9.67994,mol_CHEMBL4069969_5,C=CC(=O)N1CC[C@H](C)[C@H](Nc2ncnc3[nH]ccc23)C1,CHEMBL4069969,mol_CHEMBL4069969_5
-9.67417,mol_CHEMBL3719354_8,NC(=O)c1ccc2[nH]c3ncnc(N4CCCCC4)c3c2c1,CHEMBL3719354,mol_CHEMBL3719354_8
-9.66892,mol_CHEMBL4545883_16,C[C@H]1CCCCN1CC(C)(C)Nc1nc(-c2ccncc2)nc2cnccc12,CHEMBL4545883,mol_CHEMBL4545883_16
-9.6687,mol_CHEMBL4083165_3,C=CC(=O)N1CC[C@@H](C)[C@H](Nc2ncnc3[nH]ccc23)C1,CHEMBL4083165,mol_CHEMBL4083165_3
-9.65988,mol_CHEMBL3716162_10,CC1CCN(c2ncnc3[nH]c4ccc(C(N)=O)cc4c23)CC1,CHEMBL3716162,mol_CHEMBL3716162_10
-9.65448,mol_CHEMBL4649816_18,O=C1C[C@@H](Nc2ncnc3nc[nH]c23)CN1Cc1ccccc1,CHEMBL4649816,mol_CHEMBL4649816_18
-9.65032,mol_CHEMBL3593768_22,N#CCC(=O)N1CCC(Nc2c(C(N)=O)cnc3[nH]ccc23)CC1,CHEMBL3593768,mol_CHEMBL3593768_22
-9.64792,mol_CHEMBL3718794_12,C[C@@H]1C[C@H](C)CN(c2ncnc3[nH]c4ccc(C(N)=O)cc4c23)C1,CHEMBL3718794,mol_CHEMBL3718794_12
-9.64645,mol_CHEMBL572170_20,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4cccc(C(=O)NC(C)C)c4)[C@@H](C)C3)c12,CHEMBL572170,mol_CHEMBL572170_20
-9.64532,mol_CHEMBL585734_24,Cc1c[nH]c2ncnc(N3CCN(/C(=N/C#N)Nc4cccc(C(=O)NC(C)C)c4)[C@@H](C)C3)c12,CHEMBL585734,mol_CHEMBL585734_24
-9.63623,mol_CHEMBL4448573_17,O=C(Nc1cccc([C@H]2CCCN(c3ncnc4[nH]ccc34)C2)c1)c1ccccc1,CHEMBL4448573,mol_CHEMBL4448573_17
-9.61593,mol_CHEMBL3356066_13,Cc1c[nH]c2ncnc(N3CCN(C(=O)N[C@H](C)c4ccccc4)[C@@H](C)C3)c12,CHEMBL3356066,mol_CHEMBL3356066_13
-9.597,mol_CHEMBL4085457_2,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,CHEMBL4085457,mol_CHEMBL4085457_2
-9.5262,mol_CHEMBL3715037_11,CC[C@@H]1CCCCN1c1ncnc2[nH]c3ccc(C(N)=O)cc3c12,CHEMBL3715037,mol_CHEMBL3715037_11
-9.52529,mol_CHEMBL3352853_19,Cc1c[nH]c2ncnc(N3CCN(C(=O)N[C@@H](C)c4ccccc4)[C@@H](C)C3)c12,CHEMBL3352853,mol_CHEMBL3352853_19
-9.49955,mol_CHEMBL3715588_7,NC(=O)c1ccc2[nH]c3ncnc(N4CCCCC4)c3c2c1,CHEMBL3715588,mol_CHEMBL3715588_7
-9.46661,mol_CHEMBL4074183_4,C=CC(=O)N1C[C@@H](C)C[C@H](Nc2ncnc3[nH]ccc23)C1,CHEMBL4074183,mol_CHEMBL4074183_4
-9.4559,mol_CHEMBL4095629_6,C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1,CHEMBL4095629,mol_CHEMBL4095629_6
-9.35053,mol_CHEMBL4062806_1,C=CC(=O)N1C[C@H](C)C[C@@H](Nc2ncnc3[nH]ccc23)C1,CHEMBL4062806,mol_CHEMBL4062806_1
-9.34372,mol_CHEMBL3716812_14,Cc1nc(N2CCCCC2)c2c(n1)[nH]c1ccc(C(N)=O)cc12,CHEMBL3716812,mol_CHEMBL3716812_14
-9.20881,mol_CHEMBL4062946_0,C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1,CHEMBL4062946,mol_CHEMBL4062946_0
